Idade,Saida,FrequenciaViagem,TaxaDiaria,Departamento,DistanciaCasa,Escolaridade,AreaFormacao,SatisfacaoAmbiente,Genero,TaxaHora,EnvolvimentoCargo,NivelCargo,Cargo,SatisfacaoCargo,EstadoCivil,RendimentoMensal,TaxaMensal,NumEmpresasAnteriores,HorasExtra,PercentAumentoSalarial,AvaliacaoDesempenho,SatisfacaoRelacionamento,NivelOpcaoAccoes,AnosExperienciaTotal,FormacaoUltimoAno,EquilibrioVidaTrabalho,AnosNaEmpresa,AnosNoCargoActual,AnosDesdeUltimaPromocao,AnosComGestorActual,SatisfacaoAmbiente_Texto,SatisfacaoCargo_Texto,EnvolvimentoCargo_Texto,SatisfacaoRelacionamento_Texto,EquilibrioVidaTrabalho_Texto,AvaliacaoDesempenho_Texto,Escolaridade_Texto,RendimentoMensal_Log,FaixaEtaria,FaixaSalarial,FaixaDistancia,FaixaAntiguidade,SalarioPorNivel,EstagnacaoRelativa,ProporcaoCarreiraEmpresa,SatisfacaoMedia,PressaoTrabalho,RiscoSaida_Prob,RiscoSaida_Classe
25,0,Viaja Raramente,685,Investigacao e Desenvolvimento,1,3,Ciencias da Vida,1,Feminino,62,3,2,Director de Producao,3,Casado(a),4898,7505,0,Nao,12,3,4,2,5,3,3,4,2,1,2,Baixo,Alto,Alto,Muito Alto,Bom,Excelente,Mestrado,8.496786,18-25,3k-6k,Perto (0-5),3-5 anos,2449.0,0.04,0.8,2.6666667,0,4.3,Medio
42,0,Viaja Raramente,269,Investigacao e Desenvolvimento,2,3,Medicina,4,Feminino,56,2,1,Tecnico de Laboratorio,1,Divorciado(a),2593,8007,0,Sim,11,3,3,1,10,4,3,9,6,7,8,Muito Alto,Baixo,Medio,Alto,Bom,Excelente,Mestrado,7.860956,36-45,Ate 3k,Perto (0-5),6-10 anos,2593.0,0.16666667,0.9,2.6666667,2,14.1,Medio
40,0,Viaja Raramente,1416,Investigacao e Desenvolvimento,2,2,Medicina,1,Masculino,49,3,5,Director de Investigacao,3,Divorciado(a),19436,5949,0,Nao,19,3,4,1,22,5,3,21,7,3,9,Baixo,Alto,Alto,Muito Alto,Bom,Excelente,Licenciatura,9.874934,36-45,Acima 15k,Perto (0-5),20+ anos,3887.2,0.075,0.95454544,2.6666667,0,0.2,Baixo
51,0,Viaja Raramente,833,Investigacao e Desenvolvimento,1,3,Ciencias da Vida,3,Masculino,96,3,1,Investigador,4,Casado(a),2723,23231,1,Nao,11,3,2,0,1,0,2,1,0,0,0,Alto,Muito Alto,Alto,Medio,Regular,Excelente,Mestrado,7.909857,46-55,Ate 3k,Perto (0-5),0-2 anos,2723.0,0.0,1.0,3.0,0,41.8,Alto
31,1,Viaja Frequentemente,307,Investigacao e Desenvolvimento,29,2,Medicina,3,Masculino,71,2,1,Tecnico de Laboratorio,2,Solteiro(a),3479,11652,0,Nao,11,3,2,0,6,2,4,5,4,1,4,Alto,Medio,Medio,Medio,Excelente,Excelente,Licenciatura,8.154788,26-35,3k-6k,Muito Longe (21+),3-5 anos,3479.0,0.032258064,0.8333333,2.3333333,0,94.6,Alto
32,0,Viaja Frequentemente,1311,Investigacao e Desenvolvimento,7,3,Ciencias da Vida,2,Masculino,100,4,1,Tecnico de Laboratorio,2,Casado(a),2794,26062,1,Nao,20,4,3,0,5,3,1,5,1,0,3,Medio,Medio,Muito Alto,Alto,Mau,Excecional,Mestrado,7.9355874,26-35,Ate 3k,Medio (6-10),3-5 anos,2794.0,0.0,1.0,2.3333333,0,22.2,Alto
38,0,Sem Viagem,1327,Vendas,2,2,Ciencias da Vida,4,Masculino,39,2,2,Executivo de Vendas,4,Casado(a),5249,19682,3,Nao,18,3,4,1,13,0,3,8,7,7,5,Muito Alto,Muito Alto,Medio,Muito Alto,Bom,Excelente,Licenciatura,8.565984,36-45,3k-6k,Perto (0-5),6-10 anos,2624.5,0.18421052,0.61538464,4.0,0,3.2,Medio
32,0,Viaja Raramente,128,Investigacao e Desenvolvimento,2,1,Curso Tecnico,4,Masculino,84,2,2,Tecnico de Laboratorio,1,Solteiro(a),2176,19737,4,Nao,13,3,4,0,9,5,3,6,2,0,4,Muito Alto,Baixo,Medio,Muito Alto,Bom,Excelente,Abaixo da Licenciatura,7.6857033,26-35,Ate 3k,Perto (0-5),6-10 anos,1088.0,0.0,0.6666667,3.0,0,8.1,Medio
46,0,Viaja Raramente,488,Vendas,2,3,Curso Tecnico,3,Feminino,75,1,4,Gestor,2,Casado(a),16872,14977,3,Sim,12,3,2,1,28,2,2,7,7,7,7,Alto,Medio,Baixo,Medio,Regular,Excelente,Mestrado,9.73347,46-55,Acima 15k,Perto (0-5),6-10 anos,4218.0,0.1521739,0.25,2.3333333,3,34.6,Alto
28,1,Viaja Raramente,529,Investigacao e Desenvolvimento,2,4,Ciencias da Vida,1,Masculino,79,3,1,Tecnico de Laboratorio,3,Solteiro(a),3485,14935,2,Nao,11,3,3,0,5,5,1,0,0,0,0,Baixo,Alto,Alto,Alto,Mau,Excelente,Doutoramento,8.15651,26-35,3k-6k,Perto (0-5),0-2 anos,3485.0,0.0,0.0,2.3333333,0,87.7,Alto
29,0,Viaja Raramente,1210,Vendas,2,3,Medicina,1,Masculino,78,2,2,Executivo de Vendas,2,Casado(a),6644,3687,2,Nao,19,3,2,2,10,2,3,0,0,0,0,Baixo,Medio,Medio,Medio,Bom,Excelente,Mestrado,8.80162,26-35,6k-10k,Perto (0-5),0-2 anos,3322.0,0.0,0.0,1.6666666,0,15.6,Medio
31,0,Viaja Raramente,1463,Investigacao e Desenvolvimento,23,3,Medicina,2,Masculino,64,2,2,Representante de Saude,4,Casado(a),5582,14408,0,Nao,21,4,2,1,10,2,3,9,0,7,8,Medio,Muito Alto,Medio,Medio,Bom,Excecional,Mestrado,8.627481,26-35,3k-6k,Muito Longe (21+),6-10 anos,2791.0,0.22580644,0.9,2.6666667,0,0.7,Baixo
25,0,Sem Viagem,675,Investigacao e Desenvolvimento,5,2,Ciencias da Vida,2,Masculino,85,4,2,Representante de Saude,1,Divorciado(a),4000,18384,1,Nao,12,3,4,2,6,2,3,6,3,1,5,Medio,Baixo,Muito Alto,Muito Alto,Bom,Excelente,Licenciatura,8.2943,18-25,3k-6k,Perto (0-5),6-10 anos,2000.0,0.04,1.0,2.3333333,0,0.3,Baixo
45,0,Viaja Raramente,1385,Investigacao e Desenvolvimento,20,2,Medicina,3,Masculino,79,3,4,Representante de Saude,4,Casado(a),13496,7501,0,Sim,14,3,2,0,21,2,3,20,7,4,10,Alto,Muito Alto,Alto,Medio,Bom,Excelente,Licenciatura,9.510222,36-45,10k-15k,Longe (11-20),11-20 anos,3374.0,0.08888889,0.95238096,3.0,2,7.1,Medio
36,0,Viaja Raramente,1403,Investigacao e Desenvolvimento,6,3,Ciencias da Vida,4,Masculino,47,3,1,Tecnico de Laboratorio,4,Casado(a),3210,20251,0,Nao,11,3,3,1,16,4,3,15,13,10,11,Muito Alto,Muito Alto,Alto,Alto,Bom,Excelente,Mestrado,8.074338,36-45,3k-6k,Medio (6-10),11-20 anos,3210.0,0.2777778,0.9375,3.6666667,0,0.6,Baixo
55,0,Viaja Raramente,452,Investigacao e Desenvolvimento,1,3,Medicina,4,Masculino,81,3,5,Gestor,1,Solteiro(a),19045,18938,0,Sim,14,3,3,0,37,2,3,36,10,4,13,Muito Alto,Baixo,Alto,Alto,Bom,Excelente,Mestrado,9.854612,46-55,Acima 15k,Perto (0-5),20+ anos,3809.0,0.07272727,0.972973,2.6666667,2,7.7,Medio
47,1,Sem Viagem,666,Investigacao e Desenvolvimento,29,4,Ciencias da Vida,1,Masculino,88,3,3,Gestor,2,Casado(a),11849,10268,1,Sim,12,3,4,1,10,2,2,10,7,9,9,Baixo,Medio,Alto,Muito Alto,Regular,Excelente,Doutoramento,9.380083,46-55,10k-15k,Muito Longe (21+),6-10 anos,3949.6667,0.19148937,1.0,2.3333333,3,90.2,Alto
28,0,Viaja Raramente,1158,Investigacao e Desenvolvimento,9,3,Medicina,4,Masculino,94,3,1,Investigador,4,Casado(a),2070,2613,1,Nao,23,4,4,1,5,3,2,5,2,0,4,Muito Alto,Muito Alto,Alto,Muito Alto,Regular,Excecional,Mestrado,7.635787,26-35,Ate 3k,Medio (6-10),3-5 anos,2070.0,0.0,1.0,4.0,0,1.2,Baixo
37,0,Viaja Raramente,228,Vendas,6,4,Medicina,3,Masculino,98,3,2,Executivo de Vendas,4,Casado(a),6502,22825,4,Nao,14,3,2,1,7,5,4,5,4,0,1,Alto,Muito Alto,Alto,Medio,Excelente,Excelente,Doutoramento,8.780019,36-45,6k-10k,Medio (6-10),3-5 anos,3251.0,0.0,0.71428573,3.0,0,0.2,Baixo
21,0,Viaja Raramente,996,Investigacao e Desenvolvimento,3,2,Medicina,4,Masculino,100,2,1,Investigador,3,Solteiro(a),3230,10531,1,Nao,17,3,1,0,3,4,4,3,2,1,0,Muito Alto,Alto,Medio,Baixo,Excelente,Excelente,Licenciatura,8.080547,18-25,3k-6k,Perto (0-5),3-5 anos,3230.0,0.04761905,1.0,2.6666667,0,25.1,Alto
37,0,Sem Viagem,728,Investigacao e Desenvolvimento,1,4,Medicina,1,Feminino,80,3,3,Director de Investigacao,4,Divorciado(a),13603,11677,2,Sim,18,3,1,2,15,2,3,5,2,0,2,Baixo,Muito Alto,Alto,Baixo,Bom,Excelente,Doutoramento,9.518119,36-45,10k-15k,Perto (0-5),3-5 anos,4534.3335,0.0,0.33333334,2.0,2,1.2,Baixo
35,0,Viaja Raramente,1315,Investigacao e Desenvolvimento,22,3,Ciencias da Vida,2,Feminino,71,4,3,Gestor,2,Divorciado(a),11996,19100,7,Nao,18,3,2,1,10,6,2,7,7,6,2,Medio,Medio,Muito Alto,Medio,Regular,Excelente,Mestrado,9.392412,26-35,10k-15k,Muito Longe (21+),6-10 anos,3998.6667,0.17142858,0.7,2.0,0,2.9,Baixo
38,0,Viaja Raramente,322,Vendas,7,2,Medicina,1,Feminino,44,4,2,Executivo de Vendas,1,Divorciado(a),5605,19191,1,Sim,24,4,3,1,8,3,3,8,0,7,7,Baixo,Baixo,Muito Alto,Alto,Bom,Excecional,Licenciatura,8.631593,36-45,3k-6k,Medio (6-10),6-10 anos,2802.5,0.18421052,1.0,1.6666666,2,7.1,Medio
26,0,Viaja Frequentemente,1479,Investigacao e Desenvolvimento,1,3,Ciencias da Vida,3,Feminino,84,3,2,Director de Producao,2,Divorciado(a),6397,26767,1,Nao,20,4,1,1,6,6,1,6,5,1,4,Alto,Medio,Alto,Baixo,Mau,Excecional,Mestrado,8.763741,26-35,6k-10k,Perto (0-5),6-10 anos,3198.5,0.03846154,1.0,2.0,0,0.4,Baixo
50,0,Viaja Raramente,797,Investigacao e Desenvolvimento,4,1,Ciencias da Vida,1,Masculino,96,3,5,Director de Investigacao,2,Divorciado(a),19144,15815,3,Nao,14,3,1,2,28,4,2,10,4,1,6,Baixo,Medio,Alto,Baixo,Regular,Excelente,Abaixo da Licenciatura,9.859797,46-55,Acima 15k,Perto (0-5),6-10 anos,3828.8,0.02,0.35714287,1.3333334,0,1.8,Baixo
53,0,Viaja Raramente,1070,Investigacao e Desenvolvimento,3,4,Medicina,3,Masculino,45,3,4,Director de Investigacao,3,Casado(a),17584,21016,3,Sim,16,3,4,3,21,5,2,5,3,1,3,Alto,Alto,Alto,Muito Alto,Regular,Excelente,Doutoramento,9.774801,46-55,Acima 15k,Perto (0-5),3-5 anos,4396.0,0.018867925,0.23809524,3.3333333,3,2.0,Baixo
42,0,Viaja Raramente,635,Vendas,1,1,Ciencias da Vida,2,Masculino,99,3,2,Executivo de Vendas,3,Casado(a),4907,24532,1,Nao,25,4,3,0,20,3,3,20,16,11,6,Medio,Alto,Alto,Alto,Bom,Excecional,Abaixo da Licenciatura,8.498622,36-45,3k-6k,Perto (0-5),11-20 anos,2453.5,0.26190478,1.0,2.6666667,0,3.4,Medio
29,0,Viaja Frequentemente,442,Vendas,2,2,Ciencias da Vida,2,Masculino,44,3,2,Executivo de Vendas,4,Solteiro(a),4554,20260,1,Nao,18,3,1,0,10,3,2,10,7,0,9,Medio,Muito Alto,Alto,Baixo,Regular,Excelente,Licenciatura,8.423981,26-35,3k-6k,Perto (0-5),6-10 anos,2277.0,0.0,1.0,2.3333333,0,6.2,Medio
55,0,Viaja Raramente,147,Investigacao e Desenvolvimento,20,2,Curso Tecnico,2,Masculino,37,3,2,Tecnico de Laboratorio,4,Casado(a),5415,15972,3,Sim,19,3,4,1,12,4,3,10,7,0,8,Medio,Muito Alto,Alto,Muito Alto,Bom,Excelente,Licenciatura,8.597113,46-55,3k-6k,Longe (11-20),6-10 anos,2707.5,0.0,0.8333333,3.3333333,2,7.8,Medio
26,0,Viaja Frequentemente,496,Investigacao e Desenvolvimento,11,2,Medicina,1,Masculino,60,3,2,Representante de Saude,1,Casado(a),4741,22722,1,Sim,13,3,3,1,5,3,3,5,3,3,3,Baixo,Baixo,Alto,Alto,Bom,Excelente,Licenciatura,8.464214,26-35,3k-6k,Longe (11-20),3-5 anos,2370.5,0.115384616,1.0,1.6666666,2,42.4,Alto
37,0,Viaja Raramente,1372,Investigacao e Desenvolvimento,1,3,Ciencias da Vida,4,Feminino,42,3,1,Investigador,4,Solteiro(a),2115,15881,1,Nao,12,3,2,0,17,3,3,17,12,5,7,Muito Alto,Muito Alto,Alto,Medio,Bom,Excelente,Mestrado,7.657283,36-45,Ate 3k,Perto (0-5),11-20 anos,2115.0,0.13513513,1.0,3.3333333,0,0.9,Baixo
44,1,Viaja Frequentemente,920,Investigacao e Desenvolvimento,24,3,Ciencias da Vida,4,Masculino,43,3,1,Tecnico de Laboratorio,3,Divorciado(a),3161,19920,3,Sim,22,4,4,1,19,0,1,1,0,0,0,Muito Alto,Alto,Alto,Muito Alto,Mau,Excecional,Mestrado,8.05896,36-45,3k-6k,Muito Longe (21+),0-2 anos,3161.0,0.0,0.05263158,3.6666667,4,95.4,Alto
38,0,Viaja Raramente,688,Investigacao e Desenvolvimento,23,4,Ciencias da Vida,4,Masculino,82,3,2,Representante de Saude,4,Divorciado(a),5745,18899,9,Nao,14,3,2,1,10,2,3,2,2,1,2,Muito Alto,Muito Alto,Alto,Medio,Bom,Excelente,Doutoramento,8.65626,36-45,3k-6k,Muito Longe (21+),0-2 anos,2872.5,0.02631579,0.2,3.3333333,0,0.0,Baixo
26,1,Viaja Raramente,1449,Investigacao e Desenvolvimento,16,4,Medicina,1,Masculino,45,3,1,Tecnico de Laboratorio,2,Divorciado(a),2373,14180,2,Sim,13,3,4,1,5,2,3,3,2,0,2,Baixo,Medio,Alto,Muito Alto,Bom,Excelente,Doutoramento,7.7723317,26-35,Ate 3k,Longe (11-20),3-5 anos,2373.0,0.0,0.6,2.3333333,2,98.0,Alto
28,0,Viaja Raramente,1117,Investigacao e Desenvolvimento,8,2,Ciencias da Vida,4,Feminino,66,3,1,Investigador,4,Solteiro(a),3310,4488,1,Nao,21,4,4,0,5,3,3,5,3,0,2,Muito Alto,Muito Alto,Alto,Muito Alto,Bom,Excecional,Licenciatura,8.105005,26-35,3k-6k,Medio (6-10),3-5 anos,3310.0,0.0,1.0,4.0,0,0.0,Baixo
49,0,Viaja Frequentemente,636,Investigacao e Desenvolvimento,10,4,Ciencias da Vida,3,Feminino,35,3,5,Director de Investigacao,1,Solteiro(a),18665,25594,9,Sim,11,3,4,0,22,4,3,3,2,1,2,Alto,Baixo,Alto,Muito Alto,Bom,Excelente,Doutoramento,9.834459,46-55,Acima 15k,Medio (6-10),3-5 anos,3733.0,0.020408163,0.13636364,2.6666667,2,20.0,Alto
36,0,Viaja Raramente,506,Investigacao e Desenvolvimento,3,3,Curso Tecnico,3,Masculino,30,3,2,Investigador,2,Solteiro(a),4485,26285,4,Nao,12,3,4,0,10,2,3,8,0,7,7,Alto,Medio,Alto,Muito Alto,Bom,Excelente,Mestrado,8.408717,36-45,3k-6k,Perto (0-5),6-10 anos,2242.5,0.19444445,0.8,3.0,0,2.7,Baixo
31,0,Viaja Frequentemente,444,Vendas,5,3,Marketing,4,Feminino,84,3,1,Representante de Vendas,2,Divorciado(a),2789,3909,1,Nao,11,3,3,1,2,5,2,2,2,2,2,Muito Alto,Medio,Alto,Alto,Regular,Excelente,Mestrado,7.933797,26-35,Ate 3k,Perto (0-5),0-2 anos,2789.0,0.06451613,1.0,3.0,0,9.2,Medio
26,1,Viaja Raramente,950,Vendas,4,4,Marketing,4,Masculino,48,2,2,Executivo de Vendas,4,Solteiro(a),5828,8450,1,Sim,12,3,2,0,8,0,3,8,7,7,4,Muito Alto,Muito Alto,Medio,Medio,Bom,Excelente,Doutoramento,8.670601,26-35,3k-6k,Perto (0-5),6-10 anos,2914.0,0.26923078,1.0,3.3333333,2,95.1,Alto
37,0,Viaja Frequentemente,889,Investigacao e Desenvolvimento,9,3,Medicina,2,Masculino,53,3,1,Investigador,4,Casado(a),2326,11411,1,Sim,12,3,3,3,4,3,2,4,2,1,2,Medio,Muito Alto,Alto,Alto,Regular,Excelente,Mestrado,7.752335,36-45,Ate 3k,Medio (6-10),3-5 anos,2326.0,0.027027028,1.0,3.0,3,14.3,Medio
42,0,Viaja Frequentemente,555,Vendas,26,3,Marketing,3,Feminino,77,3,4,Executivo de Vendas,2,Casado(a),13525,14864,5,Nao,14,3,4,1,23,2,4,20,4,4,8,Alto,Medio,Alto,Muito Alto,Excelente,Excelente,Mestrado,9.512369,36-45,10k-15k,Muito Longe (21+),11-20 anos,3381.25,0.0952381,0.8695652,3.0,0,6.5,Medio
18,1,Viaja Raramente,230,Investigacao e Desenvolvimento,3,3,Ciencias da Vida,3,Masculino,54,3,1,Tecnico de Laboratorio,3,Solteiro(a),1420,25233,1,Nao,13,3,3,0,0,2,3,0,0,0,0,Alto,Alto,Alto,Alto,Bom,Excelente,Mestrado,7.259116,18-25,Ate 3k,Perto (0-5),0-2 anos,1420.0,0.0,0.0,3.0,0,97.6,Alto
35,0,Viaja Raramente,1232,Vendas,16,3,Marketing,3,Masculino,96,3,3,Executivo de Vendas,2,Casado(a),8020,5100,0,Nao,15,3,3,2,12,3,2,11,9,6,9,Alto,Medio,Alto,Alto,Regular,Excelente,Mestrado,8.989819,26-35,6k-10k,Longe (11-20),11-20 anos,2673.3333,0.17142858,0.9166667,2.6666667,0,21.5,Alto
36,0,Viaja Frequentemente,566,Investigacao e Desenvolvimento,18,4,Ciencias da Vida,3,Masculino,81,4,1,Tecnico de Laboratorio,4,Casado(a),3688,7122,4,Nao,18,3,4,2,4,2,3,1,0,0,0,Alto,Muito Alto,Muito Alto,Muito Alto,Bom,Excelente,Doutoramento,8.213111,36-45,3k-6k,Longe (11-20),0-2 anos,3688.0,0.0,0.25,3.6666667,0,2.5,Baixo
51,0,Viaja Raramente,1302,Investigacao e Desenvolvimento,2,3,Medicina,4,Masculino,84,1,2,Director de Producao,2,Divorciado(a),5482,16321,5,Nao,18,3,4,1,13,3,3,4,1,1,2,Muito Alto,Medio,Baixo,Muito Alto,Bom,Excelente,Mestrado,8.609407,46-55,3k-6k,Perto (0-5),3-5 anos,2741.0,0.019607844,0.30769232,3.3333333,0,1.6,Baixo
41,0,Viaja Raramente,334,Vendas,2,4,Ciencias da Vida,4,Masculino,88,3,4,Gestor,2,Solteiro(a),16015,15896,1,Nao,19,3,2,0,22,2,3,22,10,0,4,Muito Alto,Medio,Alto,Medio,Bom,Excelente,Doutoramento,9.681343,36-45,Acima 15k,Perto (0-5),20+ anos,4003.75,0.0,1.0,2.6666667,0,0.4,Baixo
18,0,Viaja Raramente,812,Vendas,10,3,Medicina,4,Feminino,69,2,1,Representante de Vendas,3,Solteiro(a),1200,9724,1,Nao,12,3,1,0,0,2,3,0,0,0,0,Muito Alto,Alto,Medio,Baixo,Bom,Excelente,Mestrado,7.09091,18-25,Ate 3k,Medio (6-10),0-2 anos,1200.0,0.0,0.0,2.6666667,0,85.4,Alto
28,0,Viaja Raramente,1476,Investigacao e Desenvolvimento,16,2,Medicina,2,Masculino,68,4,2,Representante de Saude,1,Solteiro(a),5661,4824,0,Nao,19,3,3,0,9,2,3,8,3,0,7,Medio,Baixo,Muito Alto,Alto,Bom,Excelente,Licenciatura,8.641533,26-35,3k-6k,Longe (11-20),6-10 anos,2830.5,0.0,0.8888889,2.0,0,10.6,Medio
31,0,Viaja Raramente,218,Vendas,7,3,Curso Tecnico,2,Masculino,100,4,2,Executivo de Vendas,4,Casado(a),6929,12241,4,Nao,11,3,2,1,10,3,2,8,7,7,7,Medio,Muito Alto,Muito Alto,Medio,Regular,Excelente,Mestrado,8.843616,26-35,6k-10k,Medio (6-10),6-10 anos,3464.5,0.22580644,0.8,2.6666667,0,12.4,Medio
39,0,Viaja Raramente,1132,Investigacao e Desenvolvimento,1,3,Medicina,3,Masculino,48,4,3,Representante de Saude,4,Divorciado(a),9613,10942,0,Nao,17,3,1,3,19,5,2,18,10,3,7,Alto,Muito Alto,Muito Alto,Baixo,Regular,Excelente,Mestrado,9.170976,36-45,6k-10k,Perto (0-5),11-20 anos,3204.3333,0.07692308,0.94736844,2.6666667,0,0.4,Baixo
36,0,Sem Viagem,1105,Investigacao e Desenvolvimento,24,4,Ciencias da Vida,2,Feminino,47,3,2,Tecnico de Laboratorio,2,Casado(a),5674,6927,7,Nao,15,3,3,1,11,3,3,9,8,0,8,Medio,Medio,Alto,Alto,Bom,Excelente,Doutoramento,8.643826,36-45,3k-6k,Muito Longe (21+),6-10 anos,2837.0,0.0,0.8181818,2.3333333,0,0.3,Baixo
32,0,Viaja Raramente,906,Vendas,7,3,Ciencias da Vida,4,Masculino,91,2,2,Executivo de Vendas,3,Casado(a),5484,16985,1,Nao,14,3,3,1,13,3,2,13,8,4,8,Muito Alto,Alto,Medio,Alto,Regular,Excelente,Mestrado,8.609773,26-35,3k-6k,Medio (6-10),11-20 anos,2742.0,0.125,1.0,3.3333333,0,8.8,Medio
38,0,Viaja Raramente,849,Investigacao e Desenvolvimento,25,2,Ciencias da Vida,1,Feminino,81,2,3,Director de Investigacao,2,Casado(a),12061,26707,3,Nao,17,3,3,1,19,2,3,10,8,0,1,Baixo,Medio,Medio,Alto,Bom,Excelente,Licenciatura,9.397816,36-45,10k-15k,Muito Longe (21+),6-10 anos,4020.3333,0.0,0.5263158,2.0,0,14.0,Medio
58,0,Sem Viagem,390,Investigacao e Desenvolvimento,1,4,Ciencias da Vida,4,Masculino,32,1,2,Representante de Saude,3,Divorciado(a),5660,17056,2,Sim,13,3,4,1,12,2,3,5,3,1,2,Muito Alto,Alto,Baixo,Muito Alto,Bom,Excelente,Doutoramento,8.6413555,56-65,3k-6k,Perto (0-5),3-5 anos,2830.0,0.01724138,0.41666666,3.6666667,2,1.3,Baixo
31,0,Viaja Raramente,691,Investigacao e Desenvolvimento,5,4,Curso Tecnico,3,Masculino,86,3,1,Investigador,4,Casado(a),4821,10077,0,Sim,12,3,3,1,6,4,3,5,2,0,3,Alto,Muito Alto,Alto,Alto,Bom,Excelente,Doutoramento,8.480944,26-35,3k-6k,Perto (0-5),3-5 anos,4821.0,0.0,0.8333333,3.3333333,2,1.7,Baixo
31,0,Viaja Raramente,106,Recursos Humanos,2,3,Recursos Humanos,1,Masculino,62,2,2,Recursos Humanos,1,Casado(a),6410,17822,3,Nao,12,3,4,0,9,1,3,2,2,1,0,Baixo,Baixo,Medio,Muito Alto,Bom,Excelente,Mestrado,8.765771,26-35,6k-10k,Perto (0-5),0-2 anos,3205.0,0.032258064,0.22222222,2.0,0,46.7,Alto
45,0,Viaja Frequentemente,1249,Investigacao e Desenvolvimento,7,3,Ciencias da Vida,1,Masculino,97,3,3,Tecnico de Laboratorio,1,Divorciado(a),5210,20308,1,Nao,18,3,1,1,24,2,3,24,9,9,11,Baixo,Baixo,Alto,Baixo,Bom,Excelente,Mestrado,8.558527,36-45,3k-6k,Medio (6-10),20+ anos,1736.6666,0.2,1.0,1.0,0,2.8,Baixo
31,0,Viaja Raramente,192,Investigacao e Desenvolvimento,2,4,Ciencias da Vida,3,Masculino,32,3,1,Investigador,4,Divorciado(a),2695,7747,0,Sim,18,3,2,1,3,2,1,2,2,2,2,Alto,Muito Alto,Alto,Medio,Mau,Excelente,Doutoramento,7.8995247,26-35,Ate 3k,Perto (0-5),0-2 anos,2695.0,0.06451613,0.6666667,3.0,4,32.3,Alto
33,0,Viaja Frequentemente,553,Investigacao e Desenvolvimento,5,4,Ciencias da Vida,4,Feminino,74,3,3,Gestor,2,Casado(a),11878,23364,6,Nao,11,3,2,2,12,2,3,10,6,8,8,Muito Alto,Medio,Alto,Medio,Bom,Excelente,Doutoramento,9.382527,26-35,10k-15k,Perto (0-5),6-10 anos,3959.3333,0.24242425,0.8333333,2.6666667,0,7.5,Medio
39,0,Viaja Raramente,117,Investigacao e Desenvolvimento,10,1,Medicina,3,Masculino,99,3,4,Gestor,1,Casado(a),17068,5355,1,Sim,14,3,4,0,21,3,3,21,9,11,10,Alto,Baixo,Alto,Muito Alto,Bom,Excelente,Abaixo da Licenciatura,9.745019,36-45,Acima 15k,Medio (6-10),20+ anos,4267.0,0.2820513,1.0,2.6666667,2,6.3,Medio
43,0,Viaja Frequentemente,185,Investigacao e Desenvolvimento,10,4,Ciencias da Vida,3,Feminino,33,3,1,Tecnico de Laboratorio,4,Solteiro(a),2455,10675,0,Nao,19,3,1,0,9,5,3,8,7,1,7,Alto,Muito Alto,Alto,Baixo,Bom,Excelente,Doutoramento,7.806289,36-45,Ate 3k,Medio (6-10),6-10 anos,2455.0,0.023255814,0.8888889,2.6666667,0,11.1,Medio
49,0,Viaja Raramente,1091,Investigacao e Desenvolvimento,1,2,Curso Tecnico,3,Feminino,90,2,4,Representante de Saude,3,Solteiro(a),13964,17810,7,Sim,12,3,4,0,25,2,3,7,1,0,7,Alto,Alto,Medio,Muito Alto,Bom,Excelente,Licenciatura,9.54431,46-55,10k-15k,Perto (0-5),6-10 anos,3491.0,0.0,0.28,3.3333333,2,33.6,Alto
52,1,Viaja Raramente,723,Investigacao e Desenvolvimento,8,4,Medicina,3,Masculino,85,2,2,Investigador,2,Casado(a),4941,17747,2,Nao,15,3,1,0,11,3,2,8,2,7,7,Alto,Medio,Medio,Baixo,Regular,Excelente,Doutoramento,8.505526,46-55,3k-6k,Medio (6-10),6-10 anos,2470.5,0.13461539,0.72727275,2.0,0,97.1,Alto
27,0,Viaja Raramente,1220,Investigacao e Desenvolvimento,5,3,Ciencias da Vida,3,Feminino,85,3,1,Investigador,2,Solteiro(a),2478,20938,1,Sim,12,3,2,0,4,2,2,4,3,1,2,Alto,Medio,Alto,Medio,Regular,Excelente,Mestrado,7.8156104,26-35,Ate 3k,Perto (0-5),3-5 anos,2478.0,0.037037037,1.0,2.3333333,3,62.2,Alto
32,0,Viaja Raramente,588,Vendas,8,2,Curso Tecnico,3,Feminino,65,2,2,Executivo de Vendas,2,Casado(a),5228,24624,1,Sim,11,3,4,0,13,2,3,13,12,11,9,Alto,Medio,Medio,Muito Alto,Bom,Excelente,Licenciatura,8.5619755,26-35,3k-6k,Medio (6-10),11-20 anos,2614.0,0.34375,1.0,3.0,2,44.6,Alto
27,0,Viaja Raramente,1377,Vendas,2,3,Ciencias da Vida,4,Masculino,74,3,2,Executivo de Vendas,3,Solteiro(a),4478,5242,1,Sim,11,3,1,0,5,3,3,5,4,0,4,Muito Alto,Alto,Alto,Baixo,Bom,Excelente,Mestrado,8.407155,26-35,3k-6k,Perto (0-5),3-5 anos,2239.0,0.0,1.0,2.6666667,2,21.2,Alto
